INFECTION,RATE,EST
Polio,0.25,300
Diphtheria,1,1000
Trachoma,1.75,691
Rabbit Fever,2,200
Cholera,3,17.5
Leprosy,5,0.8
Tetanus,9,1000
Hemorrhagic Fever,10,150
Trichinosis,22,326.5
Undulant Fever,23,146.5
Well's Disease,39,370
Gas Gangrene,98,400
Parrot Fever,119,225
Typhoid,152,200
Q Fever,179,200
Malaria,936,400
Syphilis,1514,1500
Dysentery,1627,1000
Gonorrhea,2926,6000
Meningitis,4019,5000
Tuberculosis,12619,1500
Hepatitis,14889,10000
Gastroenteritis,203864,37000
Botulism,15,37500
